Most Value Player Points(Team A),Most Value Player Points(Team B)
696.8333333333335,741.55
582.0833333333334,629.875
734.5,701.4166666666665
649.85,741.55
668.0416666666666,696.8333333333335
629.875,701.4166666666665
741.55,582.0833333333334
668.0416666666666,734.5
649.85,629.875
701.4166666666665,696.8333333333335
582.0833333333334,734.5
649.85,668.0416666666666
629.875,696.8333333333335
741.55,734.5
701.4166666666665,649.85
582.0833333333334,668.0416666666666
696.8333333333335,734.5
629.875,741.55
701.4166666666665,582.0833333333334
696.8333333333335,649.85
668.0416666666666,741.55
734.5,629.875
649.85,582.0833333333334
629.875,668.0416666666666
741.55,701.4166666666665
734.5,649.85
696.8333333333335,582.0833333333334
701.4166666666665,668.0416666666666
734.5,741.55
582.0833333333334,649.85
701.4166666666665,629.875
696.8333333333335,668.0416666666666
649.85,701.4166666666665
582.0833333333334,741.55
734.5,668.0416666666666
696.8333333333335,629.875
741.55,649.85
629.875,582.0833333333334
668.0416666666666,701.4166666666665
649.85,734.5
741.55,696.8333333333335
668.0416666666666,582.0833333333334
629.875,734.5
701.4166666666665,741.55
649.85,696.8333333333335
668.0416666666666,629.875
734.5,582.0833333333334
696.8333333333335,701.4166666666665
741.55,668.0416666666666
629.875,649.85
582.0833333333334,696.8333333333335
701.4166666666665,734.5
741.55,629.875
668.0416666666666,649.85
582.0833333333334,701.4166666666665
734.5,696.8333333333335
